optimizer,hidden_neurons_1,hidden_neurons_2,learning_rate,test_loss,test_accuracy
RProp,4,4,0.0001,1.0992401,0.31591448
RProp,4,4,0.001,1.0992401,0.31591448
RProp,4,4,0.01,1.0992402,0.31591448
RProp,4,4,0.1,1.0992402,0.31591448
RProp,4,8,0.0001,1.09924,0.31591448
RProp,4,8,0.001,1.0992402,0.31591448
RProp,4,8,0.01,1.0992401,0.31591448
RProp,4,8,0.1,1.0992402,0.31591448
RProp,4,16,0.0001,1.0992348,0.31591448
RProp,4,16,0.001,1.0992402,0.31591448
RProp,4,16,0.01,1.0992392,0.31591448
RProp,4,16,0.1,1.0992403,0.31591448
RProp,4,32,0.0001,1.0992403,0.31591448
RProp,4,32,0.001,1.0992402,0.31591448
RProp,4,32,0.01,1.0992416,0.31591448
RProp,4,32,0.1,1.0992311,0.31591448
RProp,4,64,0.0001,1.0992402,0.31591448
RProp,4,64,0.001,1.0992393,0.31591448
RProp,4,64,0.01,1.0992289,0.31591448
RProp,4,64,0.1,1.0992224,0.31591448
RProp,4,128,0.0001,1.0992135,0.31591448
RProp,4,128,0.001,1.0992479,0.31591448
RProp,4,128,0.01,1.0992402,0.31591448
RProp,4,128,0.1,1.0991248,0.31591448
RProp,8,4,0.0001,1.0992401,0.31591448
RProp,8,4,0.001,1.0992401,0.31591448
RProp,8,4,0.01,1.0992401,0.31591448
RProp,8,4,0.1,1.0992402,0.31591448
RProp,8,8,0.0001,1.0992402,0.31591448
RProp,8,8,0.001,1.0992403,0.31591448
RProp,8,8,0.01,1.0992688,0.31591448
RProp,8,8,0.1,1.0992402,0.31591448
RProp,8,16,0.0001,1.099259,0.31591448
RProp,8,16,0.001,1.0992463,0.31591448
RProp,8,16,0.01,1.2178512,0.31591448
RProp,8,16,0.1,1.0992402,0.31591448
RProp,8,32,0.0001,1.0992402,0.31591448
RProp,8,32,0.001,1.0992467,0.31591448
RProp,8,32,0.01,1.09924,0.31591448
RProp,8,32,0.1,1.0992444,0.31591448
RProp,8,64,0.0001,1.0992471,0.31591448
RProp,8,64,0.001,1.099241,0.31591448
RProp,8,64,0.01,1.099231,0.31591448
RProp,8,64,0.1,1.0992436,0.31591448
RProp,8,128,0.0001,1.0992332,0.31591448
RProp,8,128,0.001,1.0992645,0.31591448
RProp,8,128,0.01,1.0992463,0.31591448
RProp,8,128,0.1,1.0992771,0.31591448
RProp,16,4,0.0001,1.0992402,0.31591448
RProp,16,4,0.001,1.0992401,0.31591448
RProp,16,4,0.01,1.0992401,0.31591448
RProp,16,4,0.1,1.0992402,0.31591448
RProp,16,8,0.0001,1.0992501,0.31591448
RProp,16,8,0.001,1.0992402,0.31591448
RProp,16,8,0.01,1.0992402,0.31591448
RProp,16,8,0.1,1.0992402,0.31591448
RProp,16,16,0.0001,1.0992401,0.31591448
RProp,16,16,0.001,1.0992401,0.31591448
RProp,16,16,0.01,1.0992402,0.31591448
RProp,16,16,0.1,1.0992401,0.31591448
RProp,16,32,0.0001,1.099251,0.31591448
RProp,16,32,0.001,1.099238,0.31591448
RProp,16,32,0.01,1.0287374,0.37292162
RProp,16,32,0.1,1.0992401,0.31591448
RProp,16,64,0.0001,1.0992664,0.31591448
RProp,16,64,0.001,1.0992374,0.31591448
RProp,16,64,0.01,1.0992141,0.31591448
RProp,16,64,0.1,1.0992442,0.31591448
RProp,16,128,0.0001,1.0992454,0.31591448
RProp,16,128,0.001,1.0992241,0.31591448
RProp,16,128,0.01,1.0992459,0.31591448
RProp,16,128,0.1,1.0992174,0.31591448
RProp,32,4,0.0001,1.0992402,0.31591448
RProp,32,4,0.001,1.0992401,0.31591448
RProp,32,4,0.01,1.0992402,0.31591448
RProp,32,4,0.1,1.0992403,0.31591448
RProp,32,8,0.0001,1.0992403,0.31591448
RProp,32,8,0.001,1.0992402,0.31591448
RProp,32,8,0.01,1.0992622,0.31591448
RProp,32,8,0.1,1.0992401,0.31591448
RProp,32,16,0.0001,1.0992402,0.31591448
RProp,32,16,0.001,1.0992402,0.31591448
RProp,32,16,0.01,1.0995405,0.31591448
RProp,32,16,0.1,1.0992239,0.31591448
RProp,32,32,0.0001,1.0992409,0.31591448
RProp,32,32,0.001,1.0992402,0.31591448
RProp,32,32,0.01,1.0992445,0.31591448
RProp,32,32,0.1,1.0351025,0.36817104
RProp,32,64,0.0001,1.3646792,0.3206651
RProp,32,64,0.001,1.0622262,0.34916866
RProp,32,64,0.01,1.0932913,0.32541567
RProp,32,64,0.1,1.0992367,0.31591448
RProp,32,128,0.0001,1.0991812,0.31591448
RProp,32,128,0.001,1.0992601,0.31591448
RProp,32,128,0.01,1.0991896,0.31591448
RProp,32,128,0.1,1.0992426,0.31591448
RProp,64,4,0.0001,1.0992402,0.31591448
RProp,64,4,0.001,1.0992402,0.31591448
RProp,64,4,0.01,1.0992402,0.31591448
RProp,64,4,0.1,1.0992402,0.31591448
RProp,64,8,0.0001,1.0992405,0.31591448
RProp,64,8,0.001,1.0992407,0.31591448
RProp,64,8,0.01,1.0992401,0.31591448
RProp,64,8,0.1,1.0992401,0.31591448
RProp,64,16,0.0001,1.099255,0.31591448
RProp,64,16,0.001,1.0992342,0.31591448
RProp,64,16,0.01,1.0992731,0.31591448
RProp,64,16,0.1,1.0992316,0.31591448
RProp,64,32,0.0001,1.0991554,0.31591448
RProp,64,32,0.001,1.0992402,0.31591448
RProp,64,32,0.01,1.0992057,0.31591448
RProp,64,32,0.1,1.099243,0.31591448
RProp,64,64,0.0001,1.0991042,0.31591448
RProp,64,64,0.001,1.0676135,0.45843232
RProp,64,64,0.01,1.0950323,0.33729216
RProp,64,64,0.1,1.0999299,0.31591448
RProp,64,128,0.0001,1.0935427,0.32304037
RProp,64,128,0.001,0.9954063,0.48693585
RProp,64,128,0.01,1.0992657,0.31591448
RProp,64,128,0.1,1.0992329,0.31591448
RProp,128,4,0.0001,1.0992402,0.31591448
RProp,128,4,0.001,1.09924,0.31591448
RProp,128,4,0.01,1.0992401,0.31591448
RProp,128,4,0.1,1.0992402,0.31591448
RProp,128,8,0.0001,1.0992402,0.31591448
RProp,128,8,0.001,1.0992401,0.31591448
RProp,128,8,0.01,1.0992401,0.31591448
RProp,128,8,0.1,1.0992401,0.31591448
RProp,128,16,0.0001,1.0992402,0.31591448
RProp,128,16,0.001,1.0992402,0.31591448
RProp,128,16,0.01,1.0992402,0.31591448
RProp,128,16,0.1,1.0992402,0.31591448
RProp,128,32,0.0001,1.0992335,0.31591448
RProp,128,32,0.001,1.0992389,0.31591448
RProp,128,32,0.01,1.0992965,0.31591448
RProp,128,32,0.1,1.0993117,0.31591448
RProp,128,64,0.0001,1.099303,0.31591448
RProp,128,64,0.001,1.0992944,0.31591448
RProp,128,64,0.01,1.0992405,0.31591448
RProp,128,64,0.1,1.0992655,0.31591448
RProp,128,128,0.0001,1.0992153,0.31591448
RProp,128,128,0.001,1.099228,0.31591448
RProp,128,128,0.01,1.099344,0.31591448
RProp,128,128,0.1,1.099298,0.31591448
